"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "93"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "90"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "93"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "90"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "80"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "70"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "80"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "78"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "77"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "195"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "186"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "176"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "200"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(98, 94, 99, 94, 102, 98, 95, 98, 101, 89, 96, 95, 95, 92, 100, 102, 100, 99, 90, 104, 96, 99, 91, 97, 94, 102, 90, 93, 93, 91, 95, 92, 92, 95, 94, 97, 96, 93, 100, 102, 98, 95, 103, 99, 96, 102, 102)"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "110"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "138"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "130"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "139"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "125"
"BCL12" "2016" "430" "22920" "253347" "694676" "6374976" "26" "2016.08.29" "18.58.00" "2016.08.30" "08.40.00" "1.9" "2.2" "FB" "< 3 m [Protocole CEN]" "Alburnus alburnus" "145"
