"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Pseudorasbora parva" "c(68, 69, 76, 68, 71, 67, 62, 77, 71, 74, 66, 63, 71, 64, 67, 63, 77, 68, 75, 69, 73, 65, 68, 76, 69, 66, 77, 70, 70, 77, 69, 77, 69, 66, 64, 73, 67, 72, 65, 77)"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "76"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "69"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Pseudorasbora parva" "c(44, 44, 45, 47, 46, 46, 46, 48, 45, 43, 50, 44, 48, 46, 44, 49, 50, 44, 44, 45, 45, 47, 46, 47, 44, 49, 47, 45, 46, 43, 48, 44, 50, 47, 46, 45, 49, 46, 49, 48, 49, 49, 46, 49, 46, 45, 48, 47, 47, 48, 46, 44, 47, 48, 43, 47, 45, 50, 48, 43, 50, 49, 46, 43, 48, 45, 49, 48, 48, 49, 49, 48, 45, 46, 47, 45, 45, 46, 43, 47, 46, 48, 48, 48, 45, 49, 43, 45, 46, 50, 43, 49, 47, 46, 45, 46, 48, 47, 46, 47, 48, 43, 46, 50, 50, 49, 46, 45, 47, 43, 50, 49, 49, 43, 45, 47, 43, 50, 43, 46, 48, 49, 50, 47, 46, 
49, 46, 47, 45, 46, 47, 49, 48, 48, 48, 45, 43, 50, 46, 48, 48, 45, 47, 46, 47, 46, 47, 49, 49, 44, 44, 45, 44, 50, 46, 45, 43, 45, 48, 48, 44, 48, 50, 44, 50, 48, 47, 47, 45, 43, 45)"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Pseudorasbora parva" "c(57, 59, 54, 59, 55, 56, 58, 60, 55, 57, 56, 54, 59, 58, 60, 53, 59, 58, 55, 61, 53, 55, 55, 54, 59, 60, 58, 57, 58, 59, 57, 61, 60, 60, 58, 55, 59, 53, 53, 56, 61, 57, 54, 59, 55, 59, 60, 54, 59, 57, 57, 60, 57, 55, 61, 55, 58, 55, 58, 58, 56, 58, 55, 54, 59, 57, 61, 59, 53, 57, 60, 60, 56, 53, 58, 53, 59, 54, 58, 58, 54, 58, 55, 55, 60, 54, 58, 60, 55, 59, 55, 54, 57, 58, 58, 61, 60, 58, 54, 59, 61, 57, 54, 57, 56, 61, 56, 57, 55, 61, 57, 56, 60, 58, 59, 60, 54, 57, 57, 60, 53, 57, 54, 59, 57, 
59, 59, 56, 53, 58, 57, 58, 59, 57, 56, 57, 58, 56, 60, 60, 56, 55)"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "53"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "63"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Phoxinus phoxinus" "52"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "415"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "229"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "195"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "359"
"CAL2B" "2014" "414" "22129" "252069" "1196412.171" "6155853.467" "26" "2014.07.08" "18.55.00" "2014.07.09" "08.30.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Salmo trutta fario" "325"
