"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "172"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "155"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "180"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "183"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "178"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "170"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "153"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "154"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "144"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "141"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "142"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "133"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "72"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "90"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "111"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "101"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "103"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "102"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "118"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "72"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "80"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "75"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "72"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "79"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "71"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "79"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "73"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "c(97, 95, 96, 95, 97, 99, 97, 94, 92, 95, 95, 91, 92, 96, 93)"
"BAI08" "2014" "409" "22036" "251976" "776222" "2506626" "5" "2014.09.08" "19.00.00" "2014.09.09" "07.20.00" "1.2" "1.2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(75, 85, 81, 81, 83, 78, 81, 79, 76, 78, 82, 77, 78, 76, 77, 83, 81, 73, 82, 79, 77, 75, 80, 79, 76, 76, 80, 72, 77, 73, 82, 79, 78, 78, 84, 75, 76, 81, 79, 80, 78, 73, 74, 77, 82, 74, 83, 82, 80, 78, 82, 82, 81, 82, 78, 78, 74, 80, 80, 74, 77, 82, 79, 71, 78, 80, 82, 77, 77, 83, 76, 76, 83, 80, 77, 75, 80, 81, 73, 84, 77, 79, 82, 84, 73, 78, 80, 75, 80, 75, 81, 84, 75, 78, 74, 75, 80, 74, 75, 84, 83, 82, 80, 76, 73, 78, 77, 72, 76, 76, 75, 77, 78, 81, 75, 77, 72, 78, 78, 73, 76, 78, 79, 77, 79, 
