"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "100"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "145"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "58"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "54"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(84, 85, 84, 80, 81, 85, 82, 87, 82, 84, 84, 83, 87, 86, 83, 83, 84, 86, 85, 82, 83, 84, 84, 84, 81)"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "110"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "322"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "c(NA, NA)"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "191"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "210"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "120"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "c(NA, NA, NA, NA)"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(99, 99, 96, 99, 98)"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "150"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "c(122, 123, 123, 121, 122, 121)"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "230"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "230"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "235"
"ENT25" "2008" "88" "4671" "4993" "NA" "NA" "NA" "2008.07.01" "18.00.00" "2008.07.02" "06.00.00" "NA" "NA" "FB" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "230"
