"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rhodeus amarus" "67"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rhodeus amarus" "67"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rhodeus amarus" "67"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "70"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "75"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "73"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "82"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "70"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "77"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "87"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "78"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "81"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "75"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "83"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "75"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "80"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "c(81, 81, 74, 74, 84, 74, 76, 85, 86, 79, 81, 73, 84, 80, 80, 83, 87, 85, 86, 79, 80, 77, 89, 80, 77, 87, 80, 80, 90, 89, 79, 85, 80, 79, 84, 81, 78)"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "c(76, 85, 75, 87, 80, 81, 78, 78, 81, 74, 74, 77, 78, 78, 74, 86, 84, 86, 82, 87, 73, 87, 74, 85, 87, 80, 80, 84, 81, 82, 86, 76, 75, 77, 82, 83, 75, 86, 73, 81, 79, 78, 78, 75, 83, 86, 81, 81, 82, 80, 77, 84)"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "95"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "122"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "106"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "118"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "90"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "108"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "100"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "90"
"EVJ59" "2013" "345" "19738" "246084" "780038" "7003450" "26" "2013.09.23" "19.30.00" "2013.09.24" "08.15.00" "2.7" "2.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "86"
