"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"FIL09" "2015" "404" "21856" "251796" "569815" "6219653" "26" "2015.08.25" "18.18.00" "2015.08.26" "08.22.00" "2.9" "2.9" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "72"
"FIL09" "2015" "404" "21856" "251796" "569815" "6219653" "26" "2015.08.25" "18.18.00" "2015.08.26" "08.22.00" "2.9" "2.9" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "72"
"FIL09" "2015" "404" "21856" "251796" "569815" "6219653" "26" "2015.08.25" "18.18.00" "2015.08.26" "08.22.00" "2.9" "2.9" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "65"
"FIL09" "2015" "404" "21856" "251796" "569815" "6219653" "26" "2015.08.25" "18.18.00" "2015.08.26" "08.22.00" "2.9" "2.9" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "68"
"FIL09" "2015" "404" "21856" "251796" "569815" "6219653" "26" "2015.08.25" "18.18.00" "2015.08.26" "08.22.00" "2.9" "2.9" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "65"
"FIL09" "2015" "404" "21856" "251796" "569815" "6219653" "26" "2015.08.25" "18.18.00" "2015.08.26" "08.22.00" "2.9" "2.9" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "69"
"FIL09" "2015" "404" "21856" "251796" "569815" "6219653" "26" "2015.08.25" "18.18.00" "2015.08.26" "08.22.00" "2.9" "2.9" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "65"
"FIL09" "2015" "404" "21856" "251796" "569815" "6219653" "26" "2015.08.25" "18.18.00" "2015.08.26" "08.22.00" "2.9" "2.9" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "70"
"FIL09" "2015" "404" "21856" "251796" "569815" "6219653" "26" "2015.08.25" "18.18.00" "2015.08.26" "08.22.00" "2.9" "2.9" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "69"
"FIL09" "2015" "404" "21856" "251796" "569815" "6219653" "26" "2015.08.25" "18.18.00" "2015.08.26" "08.22.00" "2.9" "2.9" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "76"
