"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"PET38" "2015" "429" "22722" "252662" "918827" "6435586" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "c(107, 110, 115, 109, 111, 115, 103, 110, 109, 105, 108, 111, 98, 111, 110, 106, 105, 104, 101, 100, 117, 102, 106, 104, 114, 106, 103, 101, 103, 99, 107, 107, 112, 108, 114, 105, 107, 103, 109, 107)"
"PET38" "2015" "429" "22722" "252662" "918827" "6435586" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Perca fluviatilis" "c(77, 78, 77, 84, 75, 82)"
"PET38" "2015" "429" "22722" "252662" "918827" "6435586" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "165"
"PET38" "2015" "429" "22722" "252662" "918827" "6435586" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "170"
"PET38" "2015" "429" "22722" "252662" "918827" "6435586" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "167"
"PET38" "2015" "429" "22722" "252662" "918827" "6435586" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "156"
"PET38" "2015" "429" "22722" "252662" "918827" "6435586" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "186"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "125"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "127"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "124"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "120"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "120"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "126"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "119"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "127"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "127"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "118"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "117"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "115"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "121"
"PET38" "2015" "429" "22723" "252663" "918778" "6435528" "26" "2015.09.21" "17.20.00" "2015.09.22" "07.35.00" "0" "5.9" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "130"
